Avg_CCS1_WHCO2InjPs_psi,Avg_PLT_CO2VentRate_TPH,Avg_CCS1_WHCO2InjTp_F,Avg_CCS1_ANPs_psi,Avg_CCS1_DH6325Ps_psi,Avg_CCS1_DH6325Tp_F,inj_diff 
931.0040588,0.291666667,77.89102964,580.2666245,3161.976538,112.3327875,0.0
1163.301385,0.285714286,96.34764256,628.4756769,3274.967228,111.0615037,0.0
1203.192587,0.0,99.07163904,585.6209645,3199.390609,110.8433144,0.0
1162.270916,60.41666667,87.45609353,664.3191833,3215.457381,111.4512,0.0
845.9922638,0.0,60.63077618,467.6364174,3006.04859,114.0736335,-12.32638873
828.6225789,0.0,54.48612242,450.3799871,2985.724556,114.5175186,0.0
816.584375,0.0,49.9304587,432.9893712,2977.054844,114.8323121,0.0
807.7332591,0.0,46.54117613,416.2222232,2972.342546,115.0670976,0.0
800.9223358,0.0,44.66837333,400.6276502,2969.317952,115.2499435,0.0
795.8688151,0.0,42.7867815,448.1566213,2967.217474,115.4082975,0.0
791.4556478,0.0,41.46219724,536.6455989,2965.659393,115.5452009,0.0
787.4446101,0.0,40.27091258,547.6179484,2964.420231,115.6383392,0.0
783.2250031,0.0,38.98001874,535.9292521,2963.429814,115.713306,0.0
779.725238,0.0,37.69864648,525.2149348,2962.616748,115.7799842,0.0
776.751709,0.0,36.83145838,515.5184072,2961.940141,115.8336177,0.0
774.2447917,0.0,36.35904789,506.8210256,2961.358722,115.8836874,0.0
771.6733398,0.0,35.89066381,498.5530579,2960.853835,115.9273166,0.0
769.2607569,0.0,35.66910642,491.0344658,2960.409861,115.9642785,0.0
768.5062169,0.0,37.72757781,577.3909083,2960.042657,116.024796,0.0
766.6297811,0.0,41.85221103,579.7319458,2959.669517,116.0533345,0.0
765.5376587,0.0,47.22489185,574.3417567,2959.346775,116.0769093,0.0
765.0809519,0.0,52.32401339,569.3128586,2959.053788,116.0973966,0.0
764.8624939,0.0,56.51566334,564.2653839,2958.783044,116.1159434,0.0
764.4305216,0.0,60.04080989,559.9177312,2958.537905,116.1339827,0.0
763.9738159,0.0,62.55887594,555.7930013,2958.336129,116.1534744,0.0
764.3560801,0.0,63.46671311,551.5506363,2958.143044,116.1724613,0.0
764.7681559,0.0,62.61344191,547.198881,2957.918864,116.18892,0.0
763.5568237,0.0,59.31021932,542.5498296,2957.669381,116.1991977,0.0
760.6180588,0.0,55.77372001,538.3074605,2957.429773,116.2054142,0.0
758.9451497,0.0,53.34391101,534.8495641,2957.30257,116.2188022,0.0
757.2374674,0.0,51.96951977,531.6476491,2957.156337,116.2332723,0.0
756.2198079,0.0,50.48087511,528.3714066,2957.010848,116.2432275,0.0
