@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for SPE GeoEnergy Hackathon 2021            @@@
Well name: E01
depth(m)	 transit time (micron/sec)
2308.8300	  237.915924
2308.9439	  237.084505
2309.0579	  235.747799
2309.1718	  238.900018
2309.2858	  234.965882
2309.3997	  234.157954
2309.5137	  235.977894
2309.6276	  231.651935
2309.7416	  238.551898
2309.8555	  233.600526
2309.9695	  243.042489
2310.0834	  237.969178
2310.1974	  242.993058
2310.3113	  238.016594
2310.4253	  241.800181
2310.5392	  245.907713
2310.6532	  243.976259
2310.7671	  242.216015
2310.8811	  245.649077
2310.9950	  237.706443
2311.1090	  245.591439
2311.2229	  241.395439
2311.3369	  243.159701
2311.4508	  242.724931
2311.5647	  238.149845
2311.6787	  238.080156
2311.7926	  249.072067
2311.9066	  235.018762
2312.0205	  239.675422
2312.1345	  232.501914
2312.2484	  242.764880
2312.3624	  243.837437
2312.4763	  243.470450
2312.5903	  241.474514
2312.7042	  238.894360
2312.8182	  242.740183
2312.9321	  244.450765
2313.0461	  246.083972
2313.1600	  245.203252
2313.2740	  232.709154
2313.3879	  201.728874
2313.5019	  209.478630
2313.6158	  195.324999
2313.7298	  205.237780
2313.8437	  199.826340
2313.9577	  199.243331
2314.0716	  201.863333
2314.1856	  206.787756
2314.2995	  195.917501
2314.4134	  200.104361
2314.5274	  199.506219
2314.6413	  204.135315
2314.7553	  205.549506
2314.8692	  201.012614
2314.9832	  198.627144
2315.0971	  203.431742
2315.2111	  207.055832
2315.3250	  192.699903
2315.4390	  198.470598
2315.5529	  199.230909
2315.6669	  203.482389
2315.7808	  197.998211
2315.8948	  200.639114
2316.0087	  199.372890
2316.1227	  194.405453
2316.2366	  200.331635
2316.3506	  201.928152
2316.4645	  205.414246
2316.5785	  209.999502
2316.6924	  195.665929
2316.8064	  196.241603
2316.9203	  207.214240
2317.0342	  201.908181
2317.1482	  209.385621
2317.2621	  195.188871
2317.3761	  195.521738
2317.4900	  205.533481
2317.6040	  199.913791
2317.7179	  198.517334
2317.8319	  204.399635
2317.9458	  202.137481
2318.0598	  196.393795
2318.1737	  204.223981
2318.2877	  202.231044
2318.4016	  200.064533
2318.5156	  202.904695
2318.6295	  202.600020
2318.7435	  202.758536
2318.8574	  199.772485
2318.9714	  209.504454
2319.0853	  199.625269
2319.1993	  202.685354
2319.3132	  240.154174
2319.4272	  232.772401
2319.5411	  233.814985
2319.6551	  238.009342
2319.7690	  237.367612
2319.8829	  240.657074
2319.9969	  243.131984
2320.1108	  241.641792
2320.2248	  231.503371
2320.3387	  237.393224
2320.4527	  240.459942
2320.5666	  230.480767
2320.6806	  242.039629
2320.7945	  238.658456
2320.9085	  236.610715
2321.0224	  237.401629
2321.1364	  238.200247
2321.2503	  238.567973
2321.3643	  234.929467
2321.4782	  239.816672
2321.5922	  237.865061
2321.7061	  234.062716
2321.8201	  239.955890
2321.9340	  243.630157
2322.0480	  234.608926
2322.1619	  231.567360
2322.2759	  233.343071
2322.3898	  205.639163
2322.5037	  221.974386
2322.6177	  206.594314
2322.7316	  210.341154
2322.8456	  206.068250
2322.9595	  215.912314
2323.0735	  203.381141
2323.1874	  205.404188
2323.3014	  207.725246
2323.4153	  206.291453
2323.5293	  210.742516
2323.6432	  209.297383
2323.7572	  207.126718
2323.8711	  212.632591
2323.9851	  209.013018
2324.0990	  213.849090
2324.2130	  200.727301
2324.3269	  202.343018
2324.4409	  207.999091
2324.5548	  200.790800
2324.6688	  206.023203
2324.7827	  215.129942
2324.8967	  210.375928
2325.0106	  211.932397
2325.1245	  203.366374
2325.2385	  214.132188
2325.3524	  254.168166
2325.4664	  251.445641
2325.5803	  247.225974
2325.6943	  254.909756
2325.8082	  244.893697
2325.9222	  253.751201
2326.0361	  250.391643
2326.1501	  248.444105
2326.2640	  253.840451
2326.3780	  248.848716
2326.4919	  243.147163
2326.6059	  247.672516
2326.7198	  248.644743
2326.8338	  251.741554
2326.9477	  252.867498
2327.0617	  248.804502
2327.1756	  242.755697
2327.2896	  253.271443
2327.4035	  247.705073
2327.5175	  250.571917
2327.6314	  241.768706
2327.7454	  246.582769
2327.8593	  245.170717
2327.9732	  250.225148
2328.0872	  248.032226
2328.2011	  257.237289
2328.3151	  252.742565
2328.4290	  244.352841
2328.5430	  252.762524
2328.6569	  245.719255
2328.7709	  247.890220
2328.8848	  251.655252
2328.9988	  250.559544
2329.1127	  255.592531
2329.2267	  253.409767
2329.3406	  253.937952
2329.4546	  248.236207
2329.5685	  254.644323
2329.6825	  248.580041
