SampleTimeUTC,Avg_PLT_CO2VentRate_TPH,Avg_CCS1_WHCO2InjPs_psi,Avg_CCS1_WHCO2InjTp_F,Avg_CCS1_ANPs_psi,Avg_CCS1_DH6325Ps_psi,Avg_CCS1_DH6325Tp_F,Avg_VW1_WBTbgPs_psi,Avg_VW1_WBTbgTp_F,Avg_VW1_Z11D4917Ps_psi,Avg_VW1_Z11D4917Tp_F,Avg_VW1_Z10D5001Ps_psi,Avg_VW1_Z10D5001Tp_F,Avg_VW1_Z09D5653Ps_psi,Avg_VW1_Z09D5653Tp_F,Avg_VW1_Z08D5840Ps_psi,Avg_VW1_Z08D5840Tp_F,Avg_VW1_Z07D6416Ps_psi,Avg_VW1_Z07D6416Tp_F,Avg_VW1_Z06D6632Ps_psi,Avg_VW1_Z06D6632Tp_F,Avg_VW1_Z05D6720Ps_psi,Avg_VW1_Z05D6720Tp_F,Avg_VW1_Z04D6837Ps_psi,Avg_VW1_Z04D6837Tp_F,Avg_VW1_Z03D6945Ps_psi,Avg_VW1_Z03D6945Tp_F,Avg_VW1_Z02D6982Ps_psi,Avg_VW1_Z02D6982Tp_F,Avg_VW1_Z01D7061Ps_psi,Avg_VW1_Z01D7061Tp_F,Avg_VW1_Z0910D5482Ps_psi,Avg_VW1_Z0910D5482Tp_F,inj_diff 
2009-11-04 16:00:00,0.291666667,931.0040588,77.89102964,580.2666245,3161.976538,112.3327875,2234.596171,104.0662935,2073.546063,105.1728523,2107.409721,101.7727921,2533.969053,113.1916777,2623.817544,116.025,2904.384365,117.2099506,3012.895168,119.7345398,3051.78728,119.4700279,3111.208783,119.6620312,3165.375281,120.5178996,3181.60743,121.125296,3221.079427,122.438605,2421.951196,112.2180977,0.0
2009-11-04 17:00:00,0.285714286,1163.301385,96.34764256,628.4756769,3274.967228,111.0615037,2234.570193,104.0640874,2073.51537,105.1770438,2107.444598,101.7675111,2534.034978,113.2217315,2623.836794,116.0267857,2904.404255,117.2108667,3012.879497,119.7467769,3051.837433,119.4736729,3111.183659,119.6592041,3165.989147,120.5046259,3181.899896,121.0967622,3221.076793,122.4327145,2421.848286,112.2165871,0.0
2009-11-04 18:00:00,0.0,1203.192587,99.07163904,585.6209645,3199.390609,110.8433144,2234.602242,104.0707471,2073.51468,105.1837138,2107.45435,101.7645531,2534.074379,113.2500757,2623.809841,116.0636364,2904.435707,117.2009914,3012.873888,119.7345398,3051.856592,119.4733415,3111.273795,119.6556376,3167.438987,120.5016864,3183.040538,121.093787,3221.07015,122.4342783,2421.781139,112.21116,0.0
2009-11-04 19:00:00,60.41666667,1162.270916,87.45609353,664.3191833,3215.457381,111.4512,2234.568697,104.0705535,2073.528304,105.1869824,2107.459257,101.7576874,2534.085303,113.2504932,2623.809908,116.025,2904.436056,117.2011755,3012.915041,119.742295,3051.855894,119.480558,3111.284485,119.6545178,3169.145241,120.4813321,3184.580998,121.0946365,3221.103215,122.43694,2421.682845,112.2243829,0.0
2009-11-04 23:00:00,0.0,845.9922638,60.63077618,467.6364174,3006.04859,114.0736335,2234.451123,104.0599035,2073.519381,105.1881674,2107.396574,101.7608673,2534.031523,113.2478081,2623.852641,116.0916667,2904.4243,117.2032005,3012.971368,119.7324247,3051.914754,119.4805578,3111.265234,119.6565126,3179.144843,120.4779109,3194.978001,121.1084045,3221.70353,122.4323947,2421.327183,112.2335478,-12.32638873
2009-11-05 00:00:00,0.0,828.6225789,54.48612242,450.3799871,2985.724556,114.5175186,2234.3716,104.0567085,2073.529887,105.1837274,2107.392566,101.7560974,2534.059129,113.2484383,2623.784985,116.0583333,2904.413853,117.2113007,3012.991368,119.7394749,3051.90918,119.4821779,3111.222493,119.6599617,3178.719171,120.4746109,3195.806207,121.1076096,3221.802014,122.4362645,2421.185417,112.2291829,0.0
2009-11-05 01:00:00,0.0,816.584375,49.9304587,432.9893712,2977.054844,114.8323121,2234.385962,104.0599035,2073.504378,105.1872525,2107.363338,101.7481476,2534.040969,113.2450932,2623.782027,116.0166667,2904.434969,117.1944254,3012.973684,119.7465251,3051.90165,119.482988,3111.169773,119.6636499,3177.74303,120.484631,3195.186682,121.0932999,3221.83099,122.4339696,2421.095915,112.2321227,0.0
2009-11-05 02:00:00,0.0,807.7332591,46.54117613,416.2222232,2972.342546,115.0670976,2234.378086,104.0481885,2073.46003,105.2157227,2107.324223,101.7465576,2534.013798,113.2423184,2623.789984,116.0416667,2904.409705,117.1937504,3012.969781,119.7338348,3051.902118,119.4846078,3111.189992,119.6667554,3176.583044,120.4821561,3194.143933,121.1068146,3221.790344,122.4354396,2420.988194,112.2255379,0.0
2009-11-05 03:00:00,0.0,800.9223358,44.66837333,400.6276502,2969.317952,115.2499435,2234.342932,104.0449935,2073.472544,105.2037526,2107.374683,101.7672272,2534.030996,113.2450782,2623.774868,116.025,2904.412201,117.1795752,3012.924697,119.7507552,3051.877979,119.4821779,3111.18952,119.6641156,3175.595408,120.4894165,3193.056152,121.1028399,3221.770156,122.4346896,2420.895514,112.2306678,0.0
2009-11-05 04:00:00,0.0,795.8688151,42.7867815,448.1566213,2967.217474,115.4082975,2234.343406,104.0332785,2073.507078,105.1980075,2107.410701,101.7616623,2534.050891,113.250553,2623.753672,116.0833333,2904.437036,117.1782251,3012.934882,119.7465251,3051.907511,119.4805578,3111.159611,119.6690191,3174.756266,120.4817215,3192.049799,121.0966754,3221.787878,122.4308497,2420.803965,112.2277279,0.0
2009-11-05 05:00:00,0.0,791.4556478,41.46219724,536.6455989,2965.659393,115.5452009,2234.262555,104.0343435,2073.464563,105.2081177,2107.361446,101.7497375,2534.086475,113.2450334,2623.779333,116.1166667,2904.406877,117.1822752,3012.926945,119.7542803,3051.892647,119.4789379,3111.223458,119.6652114,3174.033602,120.4758265,3191.2119,121.1205399,3221.809265,122.4362645,2420.676436,112.2277728,0.0
2009-11-05 06:00:00,0.0,787.4446101,40.27091258,547.6179484,2964.420231,115.6383392,2234.278119,104.0481885,2073.517914,105.1902824,2107.386206,101.7568924,2534.0935,113.2484682,2623.790953,116.0583333,2904.400228,117.1822752,3013.002049,119.7444101,3051.870394,119.4829878,3111.251672,119.6579221,3173.404305,120.4751965,3190.457572,121.1078201,3221.826176,122.4339396,2420.582975,112.2132235,0.0
2009-11-05 07:00:00,0.0,783.2250031,38.98001874,535.9292521,2963.429814,115.713306,2234.394092,104.0556435,2073.490531,105.1873725,2107.39408,101.7465576,2534.073299,113.223433,2623.805332,116.0416667,2904.428628,117.1735001,3012.976162,119.7493452,3051.861902,119.4724579,3111.263869,119.6577129,3172.88289,120.4920717,3189.76979,121.1034403,3221.822953,122.4354696,2420.46049,112.205484,0.0
2009-11-05 08:00:00,0.0,779.725238,37.69864648,525.2149348,2962.616748,115.7799842,2234.351369,104.0694885,2073.462801,105.2005726,2107.408883,101.7632523,2534.059249,113.2058678,2623.831464,116.0416667,2904.444098,117.1836252,3013.006919,119.7465251,3051.821659,119.4765078,3111.269985,119.6597376,3172.428288,120.4844817,3189.196682,121.1056605,3221.811296,122.4346746,2420.377568,112.2105387,0.0
2009-11-05 09:00:00,0.0,776.751709,36.83145838,515.5184072,2961.940141,115.8336177,2234.379152,104.0694885,2073.44891,105.2136978,2107.41521,101.7624573,2534.054289,113.2031528,2623.840617,116.05,2904.431694,117.1843002,3012.979909,119.7479352,3051.829374,119.4700279,3111.29176,119.6609081,3171.991538,120.508902,3188.729445,121.1221601,3221.821356,122.4339546,2420.28926,112.2227781,0.0
2009-11-05 10:00:00,0.0,774.2447917,36.35904789,506.8210256,2961.358722,115.8836874,2234.355975,104.0780085,2073.464374,105.1973927,2107.397282,101.7592773,2534.013287,113.1977528,2623.779201,116.0583333,2904.423948,117.1809252,3012.980819,119.7521653,3051.834395,119.4748879,3111.292692,119.6570231,3171.630273,120.5218024,3188.287089,121.0881111,3221.782644,122.4316297,2420.156486,112.2270983,0.0
2009-11-05 11:00:00,0.0,771.6733398,35.89066381,498.5530579,2960.853835,115.9273166,2234.359605,104.0599035,2073.432654,105.2127678,2107.422628,101.7648422,2534.022152,113.1977528,2623.794163,116.1083333,2904.359121,117.1991505,3012.976503,119.740885,3051.834757,119.4821777,3111.288578,119.6603228,3171.239559,120.480867,3187.876744,121.0770264,3221.774917,122.4300997,2420.077478,112.2414984,0.0
2009-11-05 12:00:00,0.0,769.2607569,35.66910642,491.0344658,2960.409861,115.9642785,2234.367133,104.0428635,2073.441899,105.2083427,2107.402828,101.7545074,2534.089026,113.2119579,2623.778072,116.075,2904.376503,117.1836252,3012.940804,119.7451151,3051.834835,119.4846077,3111.259088,119.6591673,3170.93513,120.4688519,3187.573212,121.092926,3221.786287,122.4339396,2420.015977,112.2587786,0.0
2009-11-05 13:00:00,0.0,768.5062169,37.72757781,577.3909083,2960.042657,116.024796,2234.347357,104.0439285,2073.431301,105.2137428,2107.382357,101.7545074,2534.020815,113.2092279,2623.773024,116.0583333,2904.357416,117.1809252,3012.948444,119.7493452,3051.84279,119.4748879,3111.222015,119.6573966,3170.643319,120.4748669,3187.248275,121.1096207,3221.776231,122.4346896,2419.912541,112.2458182,0.0
2009-11-05 14:00:00,0.0,766.6297811,41.85221103,579.7319458,2959.669517,116.0533345,2234.341807,104.0439285,2073.474017,105.2015926,2107.374162,101.7568924,2534.019786,113.1984278,2623.76465,116.075,2904.368337,117.1748501,3012.945797,119.7542803,3051.831718,119.4862279,3111.247137,119.6630522,3170.398342,120.481572,3186.960946,121.1016708,3221.789494,122.4347346,2419.804956,112.238618,0.0
